STUDY_ID	SAMPLE_ID	AKR1C3
brca_metabric	MB-2990	0
brca_metabric	MB-3002	0
brca_metabric	MB-3008	0
brca_metabric	MB-3021	0
brca_metabric	MB-3037	0
brca_metabric	MB-3049	0
brca_metabric	MB-3064	0
brca_metabric	MB-3079	0
brca_metabric	MB-3085	0
brca_metabric	MB-3092	0
brca_metabric	MB-3110	0
brca_metabric	MB-3222	0
brca_metabric	MB-3228	0
brca_metabric	MB-3266	0
brca_metabric	MB-3350	0
brca_metabric	MB-3357	1
brca_metabric	MB-3378	0
brca_metabric	MB-3379	0
brca_metabric	MB-3389	0
brca_metabric	MB-3417	0
brca_metabric	MB-3429	0
brca_metabric	MB-3439	0
brca_metabric	MB-3467	2
brca_metabric	MB-3510	0
brca_metabric	MB-3530	0
brca_metabric	MB-3567	1
brca_metabric	MB-3576	0
brca_metabric	MB-3781	0
brca_metabric	MB-3850	0
brca_metabric	MB-3854	0
brca_metabric	MB-4005	0
brca_metabric	MB-4017	0
brca_metabric	MB-4018	0
brca_metabric	MB-4033	0
brca_metabric	MB-4046	0
brca_metabric	MB-4171	0
brca_metabric	MB-4289	0
brca_metabric	MB-4293	0
brca_metabric	MB-4306	0
brca_metabric	MB-4313	0
brca_metabric	MB-4343	0
brca_metabric	MB-4484	-1
brca_metabric	MB-4557	0
brca_metabric	MB-4618	0
brca_metabric	MB-4623	1
brca_metabric	MB-4627	0
brca_metabric	MB-4633	0
brca_metabric	MB-4634	0
brca_metabric	MB-4667	0
brca_metabric	MB-4695	0
brca_metabric	MB-4697	0
brca_metabric	MB-4698	0
brca_metabric	MB-4704	0
brca_metabric	MB-4708	-1
brca_metabric	MB-4716	0
brca_metabric	MB-4718	0
brca_metabric	MB-4721	0
brca_metabric	MB-4730	0
brca_metabric	MB-4738	0
brca_metabric	MB-4739	0
brca_metabric	MB-4741	0
brca_metabric	MB-4742	0
brca_metabric	MB-4743	0
brca_metabric	MB-4749	0
brca_metabric	MB-4764	1
brca_metabric	MB-4778	0
brca_metabric	MB-4797	0
brca_metabric	MB-4798	0
brca_metabric	MB-4818	0
brca_metabric	MB-4822	0
brca_metabric	MB-4823	0
brca_metabric	MB-4828	0
brca_metabric	MB-4829	0
brca_metabric	MB-4846	0
brca_metabric	MB-4853	0
brca_metabric	MB-4860	0
brca_metabric	MB-4872	0
brca_metabric	MB-4876	0
brca_metabric	MB-4897	0
brca_metabric	MB-4957	0
brca_metabric	MB-4965	0
brca_metabric	MB-4966	0
brca_metabric	MB-4968	0
brca_metabric	MB-4978	0
brca_metabric	MB-4981	0
brca_metabric	MB-4992	0
brca_metabric	MB-4998	1
brca_metabric	MB-5011	0
brca_metabric	MB-5020	0
brca_metabric	MB-5022	0
brca_metabric	MB-5027	0
brca_metabric	MB-5035	0
brca_metabric	MB-5043	0
brca_metabric	MB-5049	0
brca_metabric	MB-5050	0
brca_metabric	MB-5058	0
brca_metabric	MB-5059	0
brca_metabric	MB-5065	0
brca_metabric	MB-5074	0
brca_metabric	MB-5110	0
brca_metabric	MB-5121	0
brca_metabric	MB-5122	0
brca_metabric	MB-5127	0
brca_metabric	MB-5136	0
brca_metabric	MB-5145	1
brca_metabric	MB-5147	0
brca_metabric	MB-5150	0
brca_metabric	MB-5176	1
brca_metabric	MB-5178	0
brca_metabric	MB-5179	0
brca_metabric	MB-5182	0
brca_metabric	MB-5184	0
brca_metabric	MB-5190	0
brca_metabric	MB-5191	0
brca_metabric	MB-5206	0
brca_metabric	MB-5219	0
brca_metabric	MB-5239	1
brca_metabric	MB-5240	0
brca_metabric	MB-5253	0
brca_metabric	MB-5260	0
brca_metabric	MB-5268	0
brca_metabric	MB-5270	0
brca_metabric	MB-5278	1
brca_metabric	MB-5280	0
brca_metabric	MB-5284	0
brca_metabric	MB-5293	-1
brca_metabric	MB-5298	0
brca_metabric	MB-5299	-1
brca_metabric	MB-5301	0
brca_metabric	MB-5302	0
brca_metabric	MB-5305	1
brca_metabric	MB-5310	0
brca_metabric	MB-5313	0
brca_metabric	MB-5317	0
brca_metabric	MB-5322	0
brca_metabric	MB-5324	0
brca_metabric	MB-5325	0
brca_metabric	MB-5326	0
brca_metabric	MB-5327	1
brca_metabric	MB-5329	0
brca_metabric	MB-5330	0
brca_metabric	MB-5349	0
brca_metabric	MB-5350	0
brca_metabric	MB-5358	0
brca_metabric	MB-5360	0
brca_metabric	MB-5366	1
brca_metabric	MB-5368	0
brca_metabric	MB-5369	0
brca_metabric	MB-5384	0
brca_metabric	MB-5385	0
brca_metabric	MB-5387	0
brca_metabric	MB-5388	0
brca_metabric	MB-5390	1
brca_metabric	MB-5392	0
brca_metabric	MB-5393	0
brca_metabric	MB-5394	0
brca_metabric	MB-5401	0
brca_metabric	MB-5405	0
brca_metabric	MB-5406	0
brca_metabric	MB-5424	0
brca_metabric	MB-5428	0
brca_metabric	MB-5444	0
brca_metabric	MB-5451	0
brca_metabric	MB-5455	0
brca_metabric	MB-5460	0
brca_metabric	MB-5463	-1
brca_metabric	MB-5470	0
brca_metabric	MB-5478	0
brca_metabric	MB-5484	0
brca_metabric	MB-5492	0
brca_metabric	MB-5493	-1
brca_metabric	MB-5505	0
