Study ID	Sample ID	Patient ID	Altered	AKR1C3	AKR1C3: MUT	AKR1C3: FUSION	AKR1C3: AMP	AKR1C3: HOMDEL
brca_metabric	MB-0155	MB-0155	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0162	MB-0162	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0164	MB-0164	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0165	MB-0165	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0166	MB-0166	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0167	MB-0167	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0168	MB-0168	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0170	MB-0170	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0171	MB-0171	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0172	MB-0172	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0173	MB-0173	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0174	MB-0174	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0175	MB-0175	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0176	MB-0176	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0177	MB-0177	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0178	MB-0178	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0179	MB-0179	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0180	MB-0180	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0181	MB-0181	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0184	MB-0184	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0188	MB-0188	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0189	MB-0189	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0191	MB-0191	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0192	MB-0192	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0193	MB-0193	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0194	MB-0194	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0195	MB-0195	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0197	MB-0197	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0198	MB-0198	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0199	MB-0199	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0201	MB-0201	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0202	MB-0202	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0203	MB-0203	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0204	MB-0204	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0205	MB-0205	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0207	MB-0207	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0209	MB-0209	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0211	MB-0211	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0214	MB-0214	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0215	MB-0215	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0218	MB-0218	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0220	MB-0220	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0221	MB-0221	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0222	MB-0222	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0223	MB-0223	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0224	MB-0224	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0225	MB-0225	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0226	MB-0226	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0227	MB-0227	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0228	MB-0228	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0229	MB-0229	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0230	MB-0230	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0231	MB-0231	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0232	MB-0232	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0233	MB-0233	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0234	MB-0234	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0235	MB-0235	0	no alteration	not profiled	not profiled	no alteration	no alteration
brca_metabric	MB-0236	MB-0236	0	no alteration	not profiled	not profiled	no alteration	no alteration
