STUDY_ID	SAMPLE_ID	AKR1C3
brca_metabric	MB-0617	1.533
brca_metabric	MB-0618	0.3363
brca_metabric	MB-0619	2.539
brca_metabric	MB-0620	1.2994
brca_metabric	MB-0621	1.0086
brca_metabric	MB-0623	1.164
brca_metabric	MB-0624	1.1068
brca_metabric	MB-0626	-1.5618
brca_metabric	MB-0627	1.0762
brca_metabric	MB-0628	0.3458
brca_metabric	MB-0630	-1.2974
brca_metabric	MB-0631	0.5267
brca_metabric	MB-0632	0.5636
brca_metabric	MB-0634	1.2241
brca_metabric	MB-0636	0.5111
brca_metabric	MB-0637	-0.3551
brca_metabric	MB-0638	1.1192
brca_metabric	MB-0639	-0.4109
brca_metabric	MB-0640	0.9062
brca_metabric	MB-0641	1.4108
brca_metabric	MB-0642	1.6189
brca_metabric	MB-0643	0.2913
brca_metabric	MB-0644	1.861
brca_metabric	MB-0646	0.2939
brca_metabric	MB-0649	0.7178
brca_metabric	MB-0650	-0.0368
brca_metabric	MB-0652	-0.3172
brca_metabric	MB-0653	-2.2961
brca_metabric	MB-0654	-0.0434
brca_metabric	MB-0655	2.3235
brca_metabric	MB-0656	0.8999
brca_metabric	MB-0657	1.574
brca_metabric	MB-0658	0.1723
brca_metabric	MB-0659	-0.7773
brca_metabric	MB-0660	1.0601
brca_metabric	MB-0661	1.397
brca_metabric	MB-0662	-0.1425
brca_metabric	MB-0663	1.7834
brca_metabric	MB-0664	-0.7624
brca_metabric	MB-0666	1.8821
brca_metabric	MB-0869	-0.4409
brca_metabric	MB-0872	0.2493
brca_metabric	MB-0874	-1.3425
brca_metabric	MB-0877	-0.0067
brca_metabric	MB-0880	1.2477
brca_metabric	MB-0882	-1.4336
brca_metabric	MB-0884	-1.3505
brca_metabric	MB-0891	1.4266
brca_metabric	MB-0893	2.2268
brca_metabric	MB-0895	-0.4589
brca_metabric	MB-0897	0.085
brca_metabric	MB-0899	1.2234
brca_metabric	MB-0901	-2.6015
brca_metabric	MB-0904	0.8508
brca_metabric	MB-0906	0.2623
brca_metabric	MB-2513	0.7201
brca_metabric	MB-2517	0.2265
brca_metabric	MB-2536	0.8481
brca_metabric	MB-2556	1.6346
brca_metabric	MB-2564	1.1056
brca_metabric	MB-2610	0.7356
brca_metabric	MB-2613	-0.8534
brca_metabric	MB-2614	0.9706
brca_metabric	MB-2616	1.3068
brca_metabric	MB-2617	-0.0151
brca_metabric	MB-2618	0.0495
brca_metabric	MB-2624	1.1935
brca_metabric	MB-2626	0.7562
brca_metabric	MB-2629	-0.325
brca_metabric	MB-2632	-0.8377
brca_metabric	MB-2634	-0.3568
brca_metabric	MB-2642	-1.0561
brca_metabric	MB-2643	0.3435
brca_metabric	MB-2645	-1.2618
brca_metabric	MB-2669	-0.6428
brca_metabric	MB-2686	-1.0253
brca_metabric	MB-2705	-0.7838
brca_metabric	MB-2708	0.6135
brca_metabric	MB-2711	0.6231
brca_metabric	MB-2712	-0.0962
brca_metabric	MB-2718	1.3436
brca_metabric	MB-2721	0.4243
brca_metabric	MB-2724	-0.5316
brca_metabric	MB-2725	1.0503
brca_metabric	MB-2728	-0.6113
brca_metabric	MB-2730	-0.9299
brca_metabric	MB-2735	-0.6664
brca_metabric	MB-2742	-0.6691
brca_metabric	MB-2744	0.9091
brca_metabric	MB-2745	0.1382
brca_metabric	MB-2747	-0.1732
brca_metabric	MB-2749	1.1876
brca_metabric	MB-2750	0.1008
brca_metabric	MB-2752	0.2775
brca_metabric	MB-2753	-0.0076
brca_metabric	MB-2754	0.2107
brca_metabric	MB-2758	0.9254
brca_metabric	MB-2760	0.9514
brca_metabric	MB-2763	0.0272
brca_metabric	MB-2764	1.5925
brca_metabric	MB-2765	0.6182
brca_metabric	MB-2767	0.8371
brca_metabric	MB-2769	0.347
brca_metabric	MB-2770	0.847
brca_metabric	MB-2771	-0.6581
brca_metabric	MB-2772	0.7324
brca_metabric	MB-2774	0.2505
brca_metabric	MB-2778	-0.6548
brca_metabric	MB-2779	1.0501
brca_metabric	MB-2781	1.2118
brca_metabric	MB-2786	1.1557
brca_metabric	MB-2790	-0.1272
brca_metabric	MB-2791	0.5717
brca_metabric	MB-2792	0.2388
brca_metabric	MB-2793	-1.3294
brca_metabric	MB-2795	0.9418
brca_metabric	MB-2796	1.5958
brca_metabric	MB-2797	0.1228
brca_metabric	MB-2801	0.6226
brca_metabric	MB-2803	1.3132
brca_metabric	MB-2814	-0.5295
brca_metabric	MB-2815	1.1015
brca_metabric	MB-2819	-0.2994
brca_metabric	MB-2820	1.3546
brca_metabric	MB-2821	1.8012
brca_metabric	MB-2823	1.5447
brca_metabric	MB-2827	-1.5909
brca_metabric	MB-2833	0.8352
brca_metabric	MB-2834	-0.9318
brca_metabric	MB-2835	-0.2393
brca_metabric	MB-2838	0.6338
brca_metabric	MB-2840	0.6924
brca_metabric	MB-2842	2.617
brca_metabric	MB-2843	1.4162
brca_metabric	MB-2844	0.156
brca_metabric	MB-2845	1.7624
brca_metabric	MB-2846	0.6177
brca_metabric	MB-2847	-0.8659
brca_metabric	MB-2848	0.0816
brca_metabric	MB-2849	2.191
brca_metabric	MB-2850	1.6159
brca_metabric	MB-2851	1.0406
brca_metabric	MB-2853	0.6714
brca_metabric	MB-2854	0.8343
brca_metabric	MB-2857	0.4529
brca_metabric	MB-2858	-1.0348
brca_metabric	MB-2863	0.8533
brca_metabric	MB-2867	1.2045
brca_metabric	MB-2895	0.4371
brca_metabric	MB-2896	0.7695
brca_metabric	MB-2900	1.2827
brca_metabric	MB-2901	0.9639
brca_metabric	MB-2904	2.0716
brca_metabric	MB-2912	0.863
brca_metabric	MB-2916	1.2212
brca_metabric	MB-2917	1.5241
brca_metabric	MB-2919	-1.0669
brca_metabric	MB-2922	-0.4035
brca_metabric	MB-2923	-0.7879
brca_metabric	MB-2927	0.1875
brca_metabric	MB-2929	0.7835
brca_metabric	MB-2931	0.5568
brca_metabric	MB-2932	0.1224
brca_metabric	MB-2933	0.5955
brca_metabric	MB-2939	0.4608
brca_metabric	MB-2944	0.2072
brca_metabric	MB-2947	1.7697
brca_metabric	MB-2951	0.593
brca_metabric	MB-2952	-0.274
brca_metabric	MB-2953	0.7466
brca_metabric	MB-2954	-0.5431
brca_metabric	MB-2957	0.6653
brca_metabric	MB-2960	0.7144
brca_metabric	MB-2963	0.4995
brca_metabric	MB-2964	-0.4645
brca_metabric	MB-2966	0.8412
brca_metabric	MB-2969	0.7318
brca_metabric	MB-2970	0.7656
brca_metabric	MB-2971	0.1579
brca_metabric	MB-2977	0.7581
brca_metabric	MB-2983	0.8229
brca_metabric	MB-2984	-0.2923
brca_metabric	MB-2990	0.5994
brca_metabric	MB-2993	1.0173
brca_metabric	MB-2994	1.1012
brca_metabric	MB-2996	-0.177
brca_metabric	MB-2999	0.8383
brca_metabric	MB-3001	-0.1909
brca_metabric	MB-3002	1.0386
brca_metabric	MB-3005	-0.5648
brca_metabric	MB-3006	1.4053
brca_metabric	MB-3007	1.1366
brca_metabric	MB-3008	0.7708
brca_metabric	MB-3013	1.5572
brca_metabric	MB-3014	-1.135
brca_metabric	MB-3016	0.2257
brca_metabric	MB-3021	0.0608
brca_metabric	MB-3025	-0.014
brca_metabric	MB-3026	-0.5797
brca_metabric	MB-3028	-0.4717
brca_metabric	MB-3031	-1.3116
brca_metabric	MB-3032	0.9864
brca_metabric	MB-3033	0.5502
brca_metabric	MB-3035	0.0061
brca_metabric	MB-3037	0.1276
brca_metabric	MB-3046	-0.2712
brca_metabric	MB-3049	0.9073
brca_metabric	MB-3050	-1.2958
brca_metabric	MB-3057	-1.1391
brca_metabric	MB-3058	0.5078
brca_metabric	MB-3060	-2.3748
brca_metabric	MB-3062	0.9954
brca_metabric	MB-3063	-1.0236
brca_metabric	MB-3064	0.3395
brca_metabric	MB-3067	0.992
brca_metabric	MB-3079	-1.0144
brca_metabric	MB-3083	-1.5891
brca_metabric	MB-3085	1.3417
brca_metabric	MB-3088	-1.1097
brca_metabric	MB-3092	-1.4428
brca_metabric	MB-3102	0.057
brca_metabric	MB-3103	-0.7491
brca_metabric	MB-3104	0.0999
brca_metabric	MB-3105	-0.5507
brca_metabric	MB-3110	0.2958
brca_metabric	MB-3121	0.7291
brca_metabric	MB-3122	-0.6439
brca_metabric	MB-3123	-1.0424
brca_metabric	MB-3153	1.1996
brca_metabric	MB-3165	-0.1781
brca_metabric	MB-3167	-1.6323
brca_metabric	MB-3171	0.2054
brca_metabric	MB-3181	1.126
brca_metabric	MB-3211	0.3314
brca_metabric	MB-3218	0.1206
brca_metabric	MB-3222	0.2321
brca_metabric	MB-3228	0.1852
brca_metabric	MB-3235	0.1589
brca_metabric	MB-3252	1.3422
brca_metabric	MB-3253	-2.6517
brca_metabric	MB-3254	0.5017
brca_metabric	MB-3266	-0.2322
brca_metabric	MB-3271	1.9241
brca_metabric	MB-3272	-0.0532
brca_metabric	MB-3275	-0.0097
brca_metabric	MB-3277	0.689
brca_metabric	MB-3292	0.2626
brca_metabric	MB-3295	1.2605
brca_metabric	MB-3297	0.0265
brca_metabric	MB-3298	1.2852
brca_metabric	MB-3300	0.1767
brca_metabric	MB-3301	0.7808
brca_metabric	MB-3303	0.5214
brca_metabric	MB-3328	0.444
brca_metabric	MB-3329	0.0237
brca_metabric	MB-3341	0.1289
brca_metabric	MB-3344	0.3435
brca_metabric	MB-3350	-1.3607
brca_metabric	MB-3351	-0.8676
brca_metabric	MB-3355	0.6132
brca_metabric	MB-3357	-0.6098
brca_metabric	MB-3360	-0.4497
brca_metabric	MB-3361	-0.9218
brca_metabric	MB-3363	2.6041
brca_metabric	MB-3365	-0.6953
brca_metabric	MB-3367	-0.7488
brca_metabric	MB-3371	-0.3988
brca_metabric	MB-3378	1.2972
brca_metabric	MB-3379	-0.3355
brca_metabric	MB-3381	1.0038
brca_metabric	MB-3382	0.1004
brca_metabric	MB-3383	-0.6634
brca_metabric	MB-3386	-0.8534
brca_metabric	MB-3388	-1.2201
brca_metabric	MB-3389	-2.1687
brca_metabric	MB-3395	1.4861
brca_metabric	MB-3396	0.4066
brca_metabric	MB-3402	-0.2359
brca_metabric	MB-3403	-0.1974
brca_metabric	MB-3412	0.0006
brca_metabric	MB-3417	-1.1212
brca_metabric	MB-3429	1.1776
brca_metabric	MB-3430	-0.2531
brca_metabric	MB-3435	-1.2472
brca_metabric	MB-3436	-0.6477
brca_metabric	MB-3437	-1.9881
brca_metabric	MB-3439	0.4024
brca_metabric	MB-3450	-0.9925
brca_metabric	MB-3452	-0.1355
brca_metabric	MB-3453	-0.9197
brca_metabric	MB-3459	0.347
brca_metabric	MB-3462	0.5196
brca_metabric	MB-3466	-2.0842
brca_metabric	MB-3467	-0.0361
brca_metabric	MB-3470	0.0024
brca_metabric	MB-3476	1.5858
brca_metabric	MB-3479	1.4486
brca_metabric	MB-3487	0.1143
brca_metabric	MB-3488	1.3694
brca_metabric	MB-3490	-0.3295
brca_metabric	MB-3492	-0.0041
brca_metabric	MB-3497	-0.3796
brca_metabric	MB-3500	-1.7015
brca_metabric	MB-3502	0.1301
brca_metabric	MB-3506	-0.509
brca_metabric	MB-3510	0.7659
brca_metabric	MB-3525	0.2008
brca_metabric	MB-3526	0.6424
brca_metabric	MB-3528	-0.5043
brca_metabric	MB-3530	-1.1313
brca_metabric	MB-3536	0.3634
brca_metabric	MB-3545	1.0512
brca_metabric	MB-3548	-0.5113
brca_metabric	MB-3556	-1.602
brca_metabric	MB-3567	-0.0343
brca_metabric	MB-3576	-0.8903
brca_metabric	MB-3582	0.8862
brca_metabric	MB-3600	-1.8575
brca_metabric	MB-3606	-1.2203
brca_metabric	MB-3614	-0.786
brca_metabric	MB-3702	0.9441
brca_metabric	MB-3706	0.7449
brca_metabric	MB-3707	0.7919
brca_metabric	MB-3711	0.6895
brca_metabric	MB-3748	0.3662
brca_metabric	MB-3752	-0.6478
brca_metabric	MB-3754	-0.4321
brca_metabric	MB-3781	0.3785
brca_metabric	MB-3797	-1.14
brca_metabric	MB-3824	1.436
brca_metabric	MB-3838	-0.7369
brca_metabric	MB-3840	-0.6682
