STUDY_ID	SAMPLE_ID	CEACAM5
brca_metabric	MB-0500	5.490624798
brca_metabric	MB-0501	8.683628686
brca_metabric	MB-0502	5.789962587
brca_metabric	MB-0503	5.643196384
brca_metabric	MB-0504	5.577122336
brca_metabric	MB-0505	5.284140175
brca_metabric	MB-0506	5.823503808
brca_metabric	MB-0507	5.797394418
brca_metabric	MB-0508	5.705297412
brca_metabric	MB-0509	5.495332351
brca_metabric	MB-0510	6.203369754
brca_metabric	MB-0511	5.434780759
brca_metabric	MB-0512	5.397931073
brca_metabric	MB-0513	5.676536049
brca_metabric	MB-0514	5.246268949
brca_metabric	MB-0516	5.759247436
brca_metabric	MB-0517	5.520382447
brca_metabric	MB-0519	5.275086004
brca_metabric	MB-0521	5.112561523
brca_metabric	MB-0522	6.456497815
brca_metabric	MB-0524	5.736952325
brca_metabric	MB-0525	6.295049728
brca_metabric	MB-0526	5.626658697
brca_metabric	MB-0527	5.704399036
brca_metabric	MB-0528	5.591183254
brca_metabric	MB-0529	6.6494566
brca_metabric	MB-0531	5.294909544
brca_metabric	MB-0532	5.12121075
brca_metabric	MB-0534	5.404447903
brca_metabric	MB-0535	5.698650444
brca_metabric	MB-0536	5.966075093
brca_metabric	MB-0537	5.418003993
brca_metabric	MB-0538	5.423378641
brca_metabric	MB-0540	5.525806752
brca_metabric	MB-0541	5.428715661
brca_metabric	MB-0542	5.700701259
brca_metabric	MB-0544	7.571900998
brca_metabric	MB-0545	5.527021653
brca_metabric	MB-0550	5.360769129
brca_metabric	MB-0551	5.504587252
brca_metabric	MB-0552	9.128519266
brca_metabric	MB-0553	5.919536281
brca_metabric	MB-0554	5.866389724
brca_metabric	MB-0558	5.351412739
brca_metabric	MB-0559	6.983223667
brca_metabric	MB-0568	5.36455336
brca_metabric	MB-0569	6.544506031
brca_metabric	MB-0570	5.671438539
brca_metabric	MB-0571	5.514573873
brca_metabric	MB-0573	5.754180652
brca_metabric	MB-0574	5.460613779
brca_metabric	MB-0575	5.271996226
brca_metabric	MB-0576	5.412660755
brca_metabric	MB-0577	5.352892696
brca_metabric	MB-0578	5.488821798
brca_metabric	MB-0579	8.930566354
brca_metabric	MB-0580	5.579427631
brca_metabric	MB-0581	5.811999145
brca_metabric	MB-0582	5.473965953
brca_metabric	MB-0583	5.708876211
brca_metabric	MB-0584	5.395680373
brca_metabric	MB-0585	5.284404914
brca_metabric	MB-0586	5.53880757
brca_metabric	MB-0587	5.728962876
brca_metabric	MB-0588	5.497694667
brca_metabric	MB-0589	9.431449361
brca_metabric	MB-0590	5.443493327
brca_metabric	MB-0591	8.498440736
brca_metabric	MB-0593	6.151107716
brca_metabric	MB-0594	5.771356753
brca_metabric	MB-0596	5.643134639
brca_metabric	MB-0597	5.254539784
brca_metabric	MB-0598	6.042580475
brca_metabric	MB-0599	7.438473687
brca_metabric	MB-0600	5.426306246
brca_metabric	MB-0601	5.22694278
brca_metabric	MB-0603	5.628168128
brca_metabric	MB-0605	5.699747413
brca_metabric	MB-0606	7.656120991
brca_metabric	MB-0607	5.770338596
brca_metabric	MB-0608	5.27768155
brca_metabric	MB-0609	5.534901372
brca_metabric	MB-0610	5.651994742
brca_metabric	MB-0611	5.475232677
brca_metabric	MB-0613	5.969408166
brca_metabric	MB-0614	5.426901391
brca_metabric	MB-0615	5.803720272
brca_metabric	MB-0616	7.277375866
brca_metabric	MB-0617	5.43594133
brca_metabric	MB-0618	8.999525787
brca_metabric	MB-0619	9.373046112
brca_metabric	MB-0620	5.20405299
brca_metabric	MB-0621	6.27918696
brca_metabric	MB-0623	6.529636496
brca_metabric	MB-0624	5.293937827
brca_metabric	MB-0626	5.529331565
brca_metabric	MB-0627	8.556360134
brca_metabric	MB-0628	5.888687704
brca_metabric	MB-0630	5.494244902
brca_metabric	MB-0631	5.871007832
brca_metabric	MB-0632	5.642562745
brca_metabric	MB-0634	5.130115904
brca_metabric	MB-0636	5.613951291
brca_metabric	MB-0637	6.963869023
brca_metabric	MB-0638	5.445178922
brca_metabric	MB-0639	5.355976011
brca_metabric	MB-0640	5.311824669
brca_metabric	MB-0641	5.247171783
brca_metabric	MB-0642	8.818312969
brca_metabric	MB-0643	5.770011793
brca_metabric	MB-0644	5.586918331
brca_metabric	MB-0646	5.715585286
brca_metabric	MB-0649	5.749809449
brca_metabric	MB-0650	5.491158945
brca_metabric	MB-0652	6.471954229
brca_metabric	MB-0653	7.033718878
brca_metabric	MB-0654	6.855282152
brca_metabric	MB-0655	5.309692659
brca_metabric	MB-0656	5.275771655
brca_metabric	MB-0657	5.384892266
brca_metabric	MB-0658	5.311661771
brca_metabric	MB-0659	5.372719006
brca_metabric	MB-0660	5.66814412
brca_metabric	MB-0661	5.981054949
brca_metabric	MB-0662	5.460057225
brca_metabric	MB-0663	5.532377772
brca_metabric	MB-0664	5.260461467
brca_metabric	MB-0666	5.639855878
brca_metabric	MB-0869	5.540376167
brca_metabric	MB-0872	7.889641153
brca_metabric	MB-0874	5.496742804
brca_metabric	MB-0877	7.027853024
brca_metabric	MB-0880	5.760776169
brca_metabric	MB-0882	5.736956538
brca_metabric	MB-0884	5.372538228
brca_metabric	MB-0891	5.692459912
brca_metabric	MB-0893	5.249279792
brca_metabric	MB-0895	7.846755587
brca_metabric	MB-0897	5.528867301
brca_metabric	MB-0899	6.263431423
brca_metabric	MB-0901	5.690384092
brca_metabric	MB-0904	6.770668278
brca_metabric	MB-0906	5.346000517
brca_metabric	MB-2513	5.922292232
brca_metabric	MB-2517	5.383182624
brca_metabric	MB-2536	5.402222523
brca_metabric	MB-2556	5.111981103
brca_metabric	MB-2564	5.64061835
brca_metabric	MB-2610	5.538939656
brca_metabric	MB-2613	5.892549799
brca_metabric	MB-2614	5.97584625
brca_metabric	MB-2616	5.375406735
brca_metabric	MB-2617	5.631615821
brca_metabric	MB-2618	5.556980548
brca_metabric	MB-2624	5.359928667
brca_metabric	MB-2626	5.526659518
brca_metabric	MB-2629	9.298073819
brca_metabric	MB-2632	6.252342994
brca_metabric	MB-2634	5.913290473
brca_metabric	MB-2642	5.567792807
brca_metabric	MB-2643	5.420451821
brca_metabric	MB-2645	5.564053081
brca_metabric	MB-2669	6.3589582
brca_metabric	MB-2686	8.354879073
brca_metabric	MB-2705	6.561300823
brca_metabric	MB-2708	5.970637712
brca_metabric	MB-2711	6.111475231
brca_metabric	MB-2712	5.382436612
brca_metabric	MB-2718	5.526490432
brca_metabric	MB-2721	5.186370534
brca_metabric	MB-2724	5.415830014
brca_metabric	MB-2725	5.367499151
brca_metabric	MB-2728	5.469892473
brca_metabric	MB-2730	5.674624952
brca_metabric	MB-2735	6.93354591
brca_metabric	MB-2742	5.428021042
brca_metabric	MB-2744	5.334188943
brca_metabric	MB-2745	6.120636741
brca_metabric	MB-2747	6.59801655
brca_metabric	MB-2749	5.409991928
brca_metabric	MB-2750	6.690609795
brca_metabric	MB-2752	5.342966462
