STUDY_ID	SAMPLE_ID	TMEM70
brca_metabric	MB-2983	-0.845
brca_metabric	MB-2984	0.7858
brca_metabric	MB-2990	-0.4974
brca_metabric	MB-2993	0.5163
brca_metabric	MB-2994	0.579
brca_metabric	MB-2996	0.9048
brca_metabric	MB-2999	-0.1578
brca_metabric	MB-3001	0.4635
brca_metabric	MB-3002	-1.0102
brca_metabric	MB-3005	1.3363
brca_metabric	MB-3006	-0.3233
brca_metabric	MB-3007	-0.1738
brca_metabric	MB-3008	-1.0304
brca_metabric	MB-3013	-0.4922
brca_metabric	MB-3014	-0.2626
brca_metabric	MB-3016	-0.344
brca_metabric	MB-3021	0.2645
brca_metabric	MB-3025	0.2244
brca_metabric	MB-3026	0.8738
brca_metabric	MB-3028	0.934
brca_metabric	MB-3031	0.7365
brca_metabric	MB-3032	0.1506
brca_metabric	MB-3033	-0.9309
brca_metabric	MB-3035	-0.3851
brca_metabric	MB-3037	-0.672
brca_metabric	MB-3046	-0.2514
brca_metabric	MB-3049	3.279
brca_metabric	MB-3050	1.4643
brca_metabric	MB-3057	-0.2863
brca_metabric	MB-3058	0.0186
brca_metabric	MB-3060	-0.6344
brca_metabric	MB-3062	-1.7193
brca_metabric	MB-3063	0.4767
brca_metabric	MB-3064	-0.8102
brca_metabric	MB-3067	1.0592
brca_metabric	MB-3079	-1.2909
brca_metabric	MB-3083	-0.1473
brca_metabric	MB-3085	-0.1198
brca_metabric	MB-3088	-0.2947
brca_metabric	MB-3092	1.8569
brca_metabric	MB-3102	0.5566
brca_metabric	MB-3103	-0.6866
brca_metabric	MB-3104	-1.1275
brca_metabric	MB-3105	-0.7115
brca_metabric	MB-3110	-0.699
brca_metabric	MB-3121	-0.141
brca_metabric	MB-3122	-0.35
brca_metabric	MB-3123	0.0962
brca_metabric	MB-3153	-0.1771
brca_metabric	MB-3165	-1.2966
brca_metabric	MB-3167	0.4785
brca_metabric	MB-3171	-0.794
brca_metabric	MB-3181	-1.9085
brca_metabric	MB-3211	-1.4064
brca_metabric	MB-3218	-0.0199
brca_metabric	MB-3222	0.1897
brca_metabric	MB-3228	0.2866
brca_metabric	MB-3235	-0.5557
brca_metabric	MB-3252	-1.2773
brca_metabric	MB-3253	1.6553
brca_metabric	MB-3254	-0.1528
brca_metabric	MB-3266	-1.3178
brca_metabric	MB-3271	-1.3016
brca_metabric	MB-3272	-1.0224
brca_metabric	MB-3275	-2.0363
brca_metabric	MB-3277	-0.7107
brca_metabric	MB-3292	-1.1807
brca_metabric	MB-3295	-1.0949
brca_metabric	MB-3297	1.3927
brca_metabric	MB-3298	-0.4342
brca_metabric	MB-3300	0.9744
brca_metabric	MB-3301	-0.8133
brca_metabric	MB-3303	0.1588
brca_metabric	MB-3328	0.461
brca_metabric	MB-3329	-0.9792
brca_metabric	MB-3341	-0.6953
brca_metabric	MB-3344	-1.5458
brca_metabric	MB-3350	-1.7028
brca_metabric	MB-3351	-1.2901
brca_metabric	MB-3355	-1.0151
brca_metabric	MB-3357	-2.0036
brca_metabric	MB-3360	-0.958
brca_metabric	MB-3361	-1.4923
brca_metabric	MB-3363	-0.6069
brca_metabric	MB-3365	-0.3264
brca_metabric	MB-3367	-0.3699
brca_metabric	MB-3371	-0.8122
brca_metabric	MB-3378	-1.2523
brca_metabric	MB-3379	-0.4506
brca_metabric	MB-3381	-0.8953
brca_metabric	MB-3382	-0.221
brca_metabric	MB-3383	-0.3378
brca_metabric	MB-3386	-0.1313
brca_metabric	MB-3388	1.7058
brca_metabric	MB-3389	2.4887
brca_metabric	MB-3395	0.1265
brca_metabric	MB-3396	-1.3747
brca_metabric	MB-3402	-0.6123
brca_metabric	MB-3403	-1.4871
brca_metabric	MB-3412	-0.866
brca_metabric	MB-3417	-0.5514
brca_metabric	MB-3429	-0.2917
brca_metabric	MB-3430	0.0991
brca_metabric	MB-3435	0.2783
brca_metabric	MB-3436	-0.0323
brca_metabric	MB-3437	-0.9286
brca_metabric	MB-3439	-1.3243
brca_metabric	MB-3450	-2.152
brca_metabric	MB-3452	-0.1117
brca_metabric	MB-3453	0.5343
brca_metabric	MB-3459	0.2155
brca_metabric	MB-3462	-0.6731
brca_metabric	MB-3466	-1.348
brca_metabric	MB-3467	-0.412
brca_metabric	MB-3470	-0.7367
brca_metabric	MB-3476	-0.6717
brca_metabric	MB-3479	-0.1155
brca_metabric	MB-3487	1.4314
brca_metabric	MB-3488	-0.3686
brca_metabric	MB-3490	-0.5964
brca_metabric	MB-3492	0.6051
brca_metabric	MB-3497	-0.6928
brca_metabric	MB-3500	-1.1681
brca_metabric	MB-3502	-0.9367
brca_metabric	MB-3506	-0.2457
brca_metabric	MB-3510	-0.029
brca_metabric	MB-3525	-1.2925
brca_metabric	MB-3526	0.1404
