STUDY_ID	SAMPLE_ID	TMEM70
brca_metabric	MB-2854	7.501608298
brca_metabric	MB-2857	7.044851082
brca_metabric	MB-2858	6.863138569
brca_metabric	MB-2863	7.268605116
brca_metabric	MB-2867	6.635485038
brca_metabric	MB-2895	6.63344752
brca_metabric	MB-2896	6.916060301
brca_metabric	MB-2900	6.546390861
brca_metabric	MB-2901	6.92191222
brca_metabric	MB-2904	6.891560903
brca_metabric	MB-2912	6.712307448
brca_metabric	MB-2916	7.055027724
brca_metabric	MB-2917	6.753287983
brca_metabric	MB-2919	6.609444635
brca_metabric	MB-2922	6.823319014
brca_metabric	MB-2923	7.519333961
brca_metabric	MB-2927	6.55277312
brca_metabric	MB-2929	7.324630202
brca_metabric	MB-2931	6.972029153
brca_metabric	MB-2932	7.366490132
brca_metabric	MB-2933	6.609237546
brca_metabric	MB-2939	7.066143935
brca_metabric	MB-2944	6.569943391
brca_metabric	MB-2947	6.806103408
brca_metabric	MB-2951	7.194997847
brca_metabric	MB-2952	7.251335368
brca_metabric	MB-2953	6.926963579
brca_metabric	MB-2954	6.877868572
brca_metabric	MB-2957	6.796229565
brca_metabric	MB-2960	7.404985509
brca_metabric	MB-2963	6.937878371
brca_metabric	MB-2964	6.616811605
brca_metabric	MB-2966	6.989014097
brca_metabric	MB-2969	7.645920674
brca_metabric	MB-2970	6.986741547
brca_metabric	MB-2971	7.032074871
brca_metabric	MB-2977	6.960084328
brca_metabric	MB-2983	6.511815004
brca_metabric	MB-2984	7.273726073
brca_metabric	MB-2990	6.668100302
brca_metabric	MB-2993	7.142704396
brca_metabric	MB-2994	7.172991326
brca_metabric	MB-2996	7.332277484
brca_metabric	MB-2999	6.823915709
brca_metabric	MB-3001	7.11727537
brca_metabric	MB-3002	6.438669628
brca_metabric	MB-3005	7.548023414
brca_metabric	MB-3006	6.747599041
brca_metabric	MB-3007	6.816502844
brca_metabric	MB-3008	6.429772514
brca_metabric	MB-3013	6.670454019
brca_metabric	MB-3014	6.77552079
brca_metabric	MB-3016	6.738081796
brca_metabric	MB-3021	7.022142046
brca_metabric	MB-3025	7.003084227
brca_metabric	MB-3026	7.316960327
brca_metabric	MB-3028	7.346715541
brca_metabric	MB-3031	7.249583845
brca_metabric	MB-3032	6.968179967
brca_metabric	MB-3033	6.473697305
brca_metabric	MB-3035	6.719268746
brca_metabric	MB-3037	6.589210147
brca_metabric	MB-3046	6.780675582
brca_metabric	MB-3049	8.590577691
brca_metabric	MB-3050	7.613074924
brca_metabric	MB-3057	6.764578446
