STUDY_ID	SAMPLE_ID	ANGPTL4
brca_metabric	MB-0504	-0.3161
brca_metabric	MB-0505	-0.5465
brca_metabric	MB-0506	0.601
brca_metabric	MB-0507	0.7729
brca_metabric	MB-0508	0.0189
brca_metabric	MB-0509	0.2082
brca_metabric	MB-0510	0.0518
brca_metabric	MB-0511	2.0908
brca_metabric	MB-0512	-1.352
brca_metabric	MB-0513	-0.3552
brca_metabric	MB-0514	-1.5063
brca_metabric	MB-0516	1.0363
brca_metabric	MB-0517	-1.5705
brca_metabric	MB-0519	0.0131
brca_metabric	MB-0521	-0.1928
brca_metabric	MB-0522	0.1832
brca_metabric	MB-0524	1.2586
brca_metabric	MB-0525	3.4839
brca_metabric	MB-0526	0.1707
brca_metabric	MB-0527	0.1407
brca_metabric	MB-0528	-1.1973
brca_metabric	MB-0529	-1.0417
brca_metabric	MB-0531	0.9795
brca_metabric	MB-0532	-1.4183
brca_metabric	MB-0534	1.1847
brca_metabric	MB-0535	-0.39
brca_metabric	MB-0536	0.9564
brca_metabric	MB-0537	1.4726
brca_metabric	MB-0538	0.8383
brca_metabric	MB-0540	-0.6986
brca_metabric	MB-0541	-1.0811
brca_metabric	MB-0542	-0.3891
brca_metabric	MB-0544	0.186
brca_metabric	MB-0545	1.4843
brca_metabric	MB-0550	0.5374
brca_metabric	MB-0551	0.8928
brca_metabric	MB-0552	-0.4594
brca_metabric	MB-0553	-1.1636
brca_metabric	MB-0554	0.8296
brca_metabric	MB-0558	1.7249
brca_metabric	MB-0559	-0.0536
brca_metabric	MB-0568	-0.196
brca_metabric	MB-0569	-0.5925
brca_metabric	MB-0570	-1.1734
brca_metabric	MB-0571	0.3638
brca_metabric	MB-0573	0.4353
brca_metabric	MB-0574	-0.9204
brca_metabric	MB-0575	-0.5894
brca_metabric	MB-0576	-0.7833
brca_metabric	MB-0577	-1.1447
brca_metabric	MB-0578	0.7169
brca_metabric	MB-0579	-0.564
brca_metabric	MB-0580	-1.2048
brca_metabric	MB-0581	2.6103
brca_metabric	MB-0582	1.1294
brca_metabric	MB-0583	-0.7187
brca_metabric	MB-0584	-1.0825
brca_metabric	MB-0585	-1.7535
brca_metabric	MB-0586	-0.4794
brca_metabric	MB-0587	0.7478
brca_metabric	MB-0588	0.112
brca_metabric	MB-0589	-0.2204
brca_metabric	MB-0590	0.9042
brca_metabric	MB-0591	-1.0103
brca_metabric	MB-0593	-1.1259
brca_metabric	MB-0594	-1.2356
brca_metabric	MB-0596	-0.4328
brca_metabric	MB-0597	1.534
brca_metabric	MB-0598	0.3412
brca_metabric	MB-0599	-0.454
brca_metabric	MB-0600	-1.0291
brca_metabric	MB-0601	0.9024
brca_metabric	MB-0603	-0.8461
brca_metabric	MB-0605	0.4635
brca_metabric	MB-0606	-1.5106
brca_metabric	MB-0607	0.7475
brca_metabric	MB-0608	-0.3978
brca_metabric	MB-0609	-1.209
brca_metabric	MB-0610	-1.1117
brca_metabric	MB-0611	-0.7581
brca_metabric	MB-0613	1.5111
brca_metabric	MB-0614	0.4167
brca_metabric	MB-0615	1.3011
brca_metabric	MB-0616	-1.3213
brca_metabric	MB-0617	-1.057
brca_metabric	MB-0618	-1.0768
brca_metabric	MB-0619	-0.7258
brca_metabric	MB-0620	1.1295
brca_metabric	MB-0621	0.4754
brca_metabric	MB-0623	-0.0503
brca_metabric	MB-0624	1.2506
brca_metabric	MB-0626	0.1056
brca_metabric	MB-0627	1.5315
brca_metabric	MB-0628	-1.2302
brca_metabric	MB-0630	-0.9468
brca_metabric	MB-0631	0.1337
brca_metabric	MB-0632	-0.0906
brca_metabric	MB-0634	0.3012
brca_metabric	MB-0636	0.9471
brca_metabric	MB-0637	-0.0304
brca_metabric	MB-0638	0.2213
brca_metabric	MB-0639	0.5644
brca_metabric	MB-0640	0.2486
brca_metabric	MB-0641	1.0775
brca_metabric	MB-0642	-1.0606
brca_metabric	MB-0643	2.3634
brca_metabric	MB-0644	2.2134
brca_metabric	MB-0646	0.1525
brca_metabric	MB-0649	-0.199
brca_metabric	MB-0650	-0.0394
brca_metabric	MB-0652	-1.1827
brca_metabric	MB-0653	0.5498
brca_metabric	MB-0654	-1.0191
brca_metabric	MB-0655	-0.27
brca_metabric	MB-0656	1.4669
brca_metabric	MB-0657	1.7861
brca_metabric	MB-0658	0.7781
brca_metabric	MB-0659	2.2586
brca_metabric	MB-0660	2.9031
brca_metabric	MB-0661	-1.1429
brca_metabric	MB-0662	-0.2209
brca_metabric	MB-0663	0.9249
brca_metabric	MB-0664	1.4849
brca_metabric	MB-0666	-1.0297
brca_metabric	MB-0869	2.3257
brca_metabric	MB-0872	-0.4009
brca_metabric	MB-0874	2.1569
brca_metabric	MB-0877	0.3117
brca_metabric	MB-0880	0.4753
brca_metabric	MB-0882	-1.3035
brca_metabric	MB-0884	-2.0485
brca_metabric	MB-0891	1.4557
brca_metabric	MB-0893	2.9463
brca_metabric	MB-0895	-0.8229
brca_metabric	MB-0897	-0.0706
brca_metabric	MB-0899	0.846
brca_metabric	MB-0901	1.1705
brca_metabric	MB-0904	0.5837
brca_metabric	MB-0906	0.7967
brca_metabric	MB-2513	0.3063
brca_metabric	MB-2517	0.8267
brca_metabric	MB-2536	0.2892
brca_metabric	MB-2556	0.8884
brca_metabric	MB-2564	0.1247
brca_metabric	MB-2610	1.0293
brca_metabric	MB-2613	2.2632
brca_metabric	MB-2614	0.1838
brca_metabric	MB-2616	-0.6243
brca_metabric	MB-2617	-0.2837
brca_metabric	MB-2618	0.0268
brca_metabric	MB-2624	0.1714
brca_metabric	MB-2626	0.8209
brca_metabric	MB-2629	-0.1258
brca_metabric	MB-2632	-0.9612
brca_metabric	MB-2634	-0.0414
brca_metabric	MB-2642	0.127
brca_metabric	MB-2643	2.6341
brca_metabric	MB-2645	-0.3947
brca_metabric	MB-2669	-0.7267
brca_metabric	MB-2686	-1.0783
brca_metabric	MB-2705	0.522
brca_metabric	MB-2708	0.5208
brca_metabric	MB-2711	-0.5277
brca_metabric	MB-2712	-0.6509
