STUDY_ID	SAMPLE_ID	SGCG
brca_metabric	MB-0453	-0.8832
brca_metabric	MB-0454	-0.8476
brca_metabric	MB-0455	-0.8949
brca_metabric	MB-0458	0.392
brca_metabric	MB-0459	-0.1416
brca_metabric	MB-0460	0.1401
brca_metabric	MB-0462	-0.2557
brca_metabric	MB-0463	-0.9706
brca_metabric	MB-0464	-0.0226
brca_metabric	MB-0465	0.1685
brca_metabric	MB-0466	-0.4124
brca_metabric	MB-0467	-0.17
brca_metabric	MB-0468	-0.4268
brca_metabric	MB-0469	-0.255
brca_metabric	MB-0470	0.1165
brca_metabric	MB-0471	-0.0089
brca_metabric	MB-0472	-0.2472
brca_metabric	MB-0474	-0.032
brca_metabric	MB-0475	-0.2403
brca_metabric	MB-0476	-0.1009
brca_metabric	MB-0478	0.7307
brca_metabric	MB-0479	-0.255
brca_metabric	MB-0480	-0.2448
brca_metabric	MB-0481	-0.0523
brca_metabric	MB-0482	1.5104
brca_metabric	MB-0483	-0.3101
brca_metabric	MB-0484	1.6778
brca_metabric	MB-0485	0.0701
brca_metabric	MB-0486	0.1593
brca_metabric	MB-0487	4.5917
brca_metabric	MB-0488	-0.0124
brca_metabric	MB-0489	-0.6263
brca_metabric	MB-0490	-0.5088
brca_metabric	MB-0491	-0.1156
brca_metabric	MB-0492	-0.7638
brca_metabric	MB-0494	-0.5864
brca_metabric	MB-0495	-0.1881
brca_metabric	MB-0496	0.6822
brca_metabric	MB-0497	0.282
brca_metabric	MB-0500	-0.3234
brca_metabric	MB-0501	-0.2915
brca_metabric	MB-0502	0.6766
brca_metabric	MB-0503	-0.3685
brca_metabric	MB-0504	0.19
brca_metabric	MB-0505	-0.3668
brca_metabric	MB-0506	-0.4062
brca_metabric	MB-0507	0.2691
brca_metabric	MB-0508	-0.228
brca_metabric	MB-0509	-0.2834
brca_metabric	MB-0510	-0.4318
brca_metabric	MB-0511	0.0027
brca_metabric	MB-0512	0.0481
brca_metabric	MB-0513	0.0747
brca_metabric	MB-0514	-0.4866
brca_metabric	MB-0516	-1.2872
brca_metabric	MB-0517	0.0546
brca_metabric	MB-0519	-0.7282
brca_metabric	MB-0521	0.1059
brca_metabric	MB-0522	-0.6588
brca_metabric	MB-0524	0.2446
brca_metabric	MB-0525	-0.4689
