STUDY_ID	SAMPLE_ID	FN1
brca_metabric	MB-0538	6.06578309
brca_metabric	MB-0540	5.468114713
brca_metabric	MB-0541	5.930642577
brca_metabric	MB-0542	5.752212841
brca_metabric	MB-0544	6.461922733
brca_metabric	MB-0545	6.207915954
brca_metabric	MB-0550	6.213217587
brca_metabric	MB-0551	5.611610559
brca_metabric	MB-0552	6.455132509
brca_metabric	MB-0553	5.3405478
brca_metabric	MB-0554	7.577223894
brca_metabric	MB-0558	5.99157705
brca_metabric	MB-0559	6.275455717
brca_metabric	MB-0568	5.889549672
brca_metabric	MB-0569	6.667247588
brca_metabric	MB-0570	5.52123008
brca_metabric	MB-0571	6.463872133
brca_metabric	MB-0573	5.729420573
brca_metabric	MB-0574	6.116584196
brca_metabric	MB-0575	6.907521618
brca_metabric	MB-0576	6.571288454
brca_metabric	MB-0577	5.326353555
brca_metabric	MB-0578	5.529551921
brca_metabric	MB-0579	6.856860411
brca_metabric	MB-0580	6.443723991
brca_metabric	MB-0581	7.066060012
brca_metabric	MB-0582	5.876438907
brca_metabric	MB-0583	6.34221839
brca_metabric	MB-0584	5.999024076
brca_metabric	MB-0585	6.582412504
brca_metabric	MB-0586	6.065759019
brca_metabric	MB-0587	6.098919809
brca_metabric	MB-0588	6.206752985
brca_metabric	MB-0589	6.597420434
brca_metabric	MB-0590	5.605132562
brca_metabric	MB-0591	6.38986802
brca_metabric	MB-0593	6.772528301
brca_metabric	MB-0594	6.107875698
brca_metabric	MB-0596	6.320983403
brca_metabric	MB-0597	6.64603471
brca_metabric	MB-0598	6.42837611
brca_metabric	MB-0599	7.400125017
brca_metabric	MB-0600	6.46449162
brca_metabric	MB-0601	7.16746206
brca_metabric	MB-0603	6.589140723
brca_metabric	MB-0605	6.398099833
brca_metabric	MB-0606	5.930494784
brca_metabric	MB-0607	6.025622298
brca_metabric	MB-0608	6.22065677
brca_metabric	MB-0609	6.068094912
brca_metabric	MB-0610	6.946671338
brca_metabric	MB-0611	6.394051765
brca_metabric	MB-0613	7.783499353
brca_metabric	MB-0614	5.977461092
brca_metabric	MB-0615	5.873813728
brca_metabric	MB-0616	6.632883022
brca_metabric	MB-0617	5.806639475
brca_metabric	MB-0618	6.733869606
brca_metabric	MB-0619	5.679031437
