STUDY_ID	SAMPLE_ID	FN1
brca_metabric	MB-2772	0.9204
brca_metabric	MB-2774	1.2558
brca_metabric	MB-2778	1.5373
brca_metabric	MB-2779	-1.0871
brca_metabric	MB-2781	0.5075
brca_metabric	MB-2786	0.2204
brca_metabric	MB-2790	0.4524
brca_metabric	MB-2791	-0.3176
brca_metabric	MB-2792	0.1988
brca_metabric	MB-2793	-0.0534
brca_metabric	MB-2795	-0.2425
brca_metabric	MB-2796	-0.3361
brca_metabric	MB-2797	-0.4025
brca_metabric	MB-2801	-0.7359
brca_metabric	MB-2803	-0.2528
brca_metabric	MB-2814	0.0331
brca_metabric	MB-2815	-1.1885
brca_metabric	MB-2819	-0.1963
brca_metabric	MB-2820	-0.5199
brca_metabric	MB-2821	2.2249
brca_metabric	MB-2823	-1.1196
brca_metabric	MB-2827	-0.3894
brca_metabric	MB-2833	-1.4837
brca_metabric	MB-2834	-0.1638
brca_metabric	MB-2835	0.2629
brca_metabric	MB-2838	-1.1724
brca_metabric	MB-2840	-1.4799
brca_metabric	MB-2842	0.2534
brca_metabric	MB-2843	-0.2559
brca_metabric	MB-2844	1.3558
brca_metabric	MB-2845	-1.3744
brca_metabric	MB-2846	-0.988
brca_metabric	MB-2847	0.0021
brca_metabric	MB-2848	1.8093
brca_metabric	MB-2849	-1.1496
brca_metabric	MB-2850	-0.7434
brca_metabric	MB-2851	1.2111
brca_metabric	MB-2853	-0.7497
brca_metabric	MB-2854	-1.2826
brca_metabric	MB-2857	-0.4628
brca_metabric	MB-2858	0.2155
brca_metabric	MB-2863	0.1957
brca_metabric	MB-2867	-0.3838
brca_metabric	MB-2895	0.0742
brca_metabric	MB-2896	0.5778
brca_metabric	MB-2900	-1.1346
brca_metabric	MB-2901	-1.0999
brca_metabric	MB-2904	-1.3857
brca_metabric	MB-2912	-0.2567
brca_metabric	MB-2916	0.7126
brca_metabric	MB-2917	-0.7525
brca_metabric	MB-2919	0.9226
brca_metabric	MB-2922	1.149
brca_metabric	MB-2923	-0.3138
brca_metabric	MB-2927	-0.8375
brca_metabric	MB-2929	0.212
brca_metabric	MB-2931	1.5129
brca_metabric	MB-2932	-1.2901
brca_metabric	MB-2933	0.1265
brca_metabric	MB-2939	1.1588
brca_metabric	MB-2944	0.5814
brca_metabric	MB-2947	-1.5382
brca_metabric	MB-2951	-0.7962
brca_metabric	MB-2952	-0.8054
brca_metabric	MB-2953	0.2427
brca_metabric	MB-2954	-0.1584
brca_metabric	MB-2957	-0.1067
brca_metabric	MB-2960	-0.0068
brca_metabric	MB-2963	1.5756
brca_metabric	MB-2964	-0.1601
brca_metabric	MB-2966	0.1228
brca_metabric	MB-2969	0.2256
brca_metabric	MB-2970	-0.4538
brca_metabric	MB-2971	-0.1908
brca_metabric	MB-2977	0.2095
brca_metabric	MB-2983	2.0424
brca_metabric	MB-2984	0.0731
brca_metabric	MB-2990	-0.8495
brca_metabric	MB-2993	0.3087
brca_metabric	MB-2994	-0.6232
brca_metabric	MB-2996	-0.1749
brca_metabric	MB-2999	-0.9882
brca_metabric	MB-3001	-0.8077
brca_metabric	MB-3002	0.4338
brca_metabric	MB-3005	0.3612
brca_metabric	MB-3006	-0.0521
brca_metabric	MB-3007	0.2187
brca_metabric	MB-3008	0.0422
brca_metabric	MB-3013	0.1291
brca_metabric	MB-3014	0.079
brca_metabric	MB-3016	0.4317
brca_metabric	MB-3021	-0.0793
brca_metabric	MB-3025	-0.3152
brca_metabric	MB-3026	0.0222
brca_metabric	MB-3028	-0.8693
brca_metabric	MB-3031	-0.0565
brca_metabric	MB-3032	0.4412
brca_metabric	MB-3033	-0.7791
brca_metabric	MB-3035	-0.4557
brca_metabric	MB-3037	-0.0298
brca_metabric	MB-3046	0.4214
brca_metabric	MB-3049	-1.4404
brca_metabric	MB-3050	-0.544
brca_metabric	MB-3057	-0.4891
brca_metabric	MB-3058	1.0686
brca_metabric	MB-3060	1.3622
brca_metabric	MB-3062	0.7351
brca_metabric	MB-3063	1.2013
brca_metabric	MB-3064	0.6241
brca_metabric	MB-3067	-0.3843
brca_metabric	MB-3079	0.7071
brca_metabric	MB-3083	-1.0746
brca_metabric	MB-3085	-0.6502
brca_metabric	MB-3088	-0.6779
brca_metabric	MB-3092	-1.1243
brca_metabric	MB-3102	-0.8708
brca_metabric	MB-3103	0.9563
brca_metabric	MB-3104	-1.1791
brca_metabric	MB-3105	1.6198
brca_metabric	MB-3110	-0.2902
brca_metabric	MB-3121	-1.0069
brca_metabric	MB-3122	0.5071
brca_metabric	MB-3123	0.4822
brca_metabric	MB-3153	-0.2193
brca_metabric	MB-3165	1.5303
brca_metabric	MB-3167	-0.1289
brca_metabric	MB-3171	-0.3263
brca_metabric	MB-3181	0.7632
brca_metabric	MB-3211	0.2957
brca_metabric	MB-3218	-0.171
brca_metabric	MB-3222	2.0042
brca_metabric	MB-3228	0.4011
brca_metabric	MB-3235	-0.1076
brca_metabric	MB-3252	-1.0058
brca_metabric	MB-3253	0.6882
brca_metabric	MB-3254	0.6677
brca_metabric	MB-3266	1.7795
brca_metabric	MB-3271	0.506
brca_metabric	MB-3272	0.4775
brca_metabric	MB-3275	1.7199
brca_metabric	MB-3277	1.0629
brca_metabric	MB-3292	-0.3597
brca_metabric	MB-3295	-0.708
brca_metabric	MB-3297	-0.5283
brca_metabric	MB-3298	-0.0183
brca_metabric	MB-3300	0.5012
brca_metabric	MB-3301	0.0053
brca_metabric	MB-3303	0.4666
brca_metabric	MB-3328	0.9149
brca_metabric	MB-3329	0.1546
brca_metabric	MB-3341	-0.2633
brca_metabric	MB-3344	-0.6058
brca_metabric	MB-3350	-1.3102
brca_metabric	MB-3351	0.8144
brca_metabric	MB-3355	0.7177
brca_metabric	MB-3357	1.1116
brca_metabric	MB-3360	0.4924
brca_metabric	MB-3361	1.0371
brca_metabric	MB-3363	-0.5471
brca_metabric	MB-3365	-0.7798
brca_metabric	MB-3367	-0.4692
brca_metabric	MB-3371	0.2505
brca_metabric	MB-3378	-0.0776
brca_metabric	MB-3379	1.2559
brca_metabric	MB-3381	0.205
brca_metabric	MB-3382	1.265
brca_metabric	MB-3383	0.4077
brca_metabric	MB-3386	-0.2645
brca_metabric	MB-3388	-0.363
brca_metabric	MB-3389	-1.4679
brca_metabric	MB-3395	-1.0089
brca_metabric	MB-3396	1.1905
brca_metabric	MB-3402	-0.2436
brca_metabric	MB-3403	0.6177
brca_metabric	MB-3412	0.6689
brca_metabric	MB-3417	-0.6934
brca_metabric	MB-3429	-0.6673
brca_metabric	MB-3430	-0.3136
brca_metabric	MB-3435	0.1014
brca_metabric	MB-3436	-1.644
brca_metabric	MB-3437	-0.8254
brca_metabric	MB-3439	0.0548
brca_metabric	MB-3450	0.4007
brca_metabric	MB-3452	1.2072
brca_metabric	MB-3453	1.4482
brca_metabric	MB-3459	0.1961
brca_metabric	MB-3462	-0.815
brca_metabric	MB-3466	0.9961
brca_metabric	MB-3467	0.2311
brca_metabric	MB-3470	0.2394
brca_metabric	MB-3476	-0.794
brca_metabric	MB-3479	-0.7373
brca_metabric	MB-3487	-0.3856
brca_metabric	MB-3488	-0.6928
brca_metabric	MB-3490	0.205
brca_metabric	MB-3492	0.1696
brca_metabric	MB-3497	1.0505
brca_metabric	MB-3500	-0.7847
brca_metabric	MB-3502	-0.0642
brca_metabric	MB-3506	0.0544
brca_metabric	MB-3510	-0.4855
brca_metabric	MB-3525	-1.085
brca_metabric	MB-3526	-0.9485
brca_metabric	MB-3528	-0.6611
brca_metabric	MB-3530	-0.0864
brca_metabric	MB-3536	0.2792
brca_metabric	MB-3545	-0.315
brca_metabric	MB-3548	-0.0089
brca_metabric	MB-3556	0.6521
brca_metabric	MB-3567	0.0044
brca_metabric	MB-3576	0.8438
brca_metabric	MB-3582	-0.1749
brca_metabric	MB-3600	0.3839
brca_metabric	MB-3606	0.8293
brca_metabric	MB-3614	1.3057
brca_metabric	MB-3702	-1.0684
brca_metabric	MB-3706	0.3499
brca_metabric	MB-3707	0.0954
brca_metabric	MB-3711	0.0364
brca_metabric	MB-3748	-0.7889
brca_metabric	MB-3752	-0.7525
brca_metabric	MB-3754	1.6213
brca_metabric	MB-3781	-0.7194
brca_metabric	MB-3797	-1.2787
brca_metabric	MB-3824	-0.2208
brca_metabric	MB-3838	-0.8485
