STUDY_ID	SAMPLE_ID	ANGPT2
brca_metabric	MB-2721	6.153012061
brca_metabric	MB-2724	7.474974829
brca_metabric	MB-2725	7.472625264
brca_metabric	MB-2728	7.85837096
brca_metabric	MB-2730	6.309935751
brca_metabric	MB-2735	7.545067813
brca_metabric	MB-2742	7.204767886
brca_metabric	MB-2744	6.500925902
brca_metabric	MB-2745	6.338923917
brca_metabric	MB-2747	7.993083917
brca_metabric	MB-2749	7.902407557
brca_metabric	MB-2750	7.27301209
brca_metabric	MB-2752	6.685290989
brca_metabric	MB-2753	6.75383262
brca_metabric	MB-2754	6.804082672
brca_metabric	MB-2758	8.263436617
brca_metabric	MB-2760	6.963548425
brca_metabric	MB-2763	6.717924986
brca_metabric	MB-2764	7.945687113
brca_metabric	MB-2765	7.408548651
brca_metabric	MB-2767	7.715880831
brca_metabric	MB-2769	6.610989646
brca_metabric	MB-2770	6.420894265
brca_metabric	MB-2771	7.160292665
brca_metabric	MB-2772	7.679634128
brca_metabric	MB-2774	7.314823071
brca_metabric	MB-2778	8.050583217
brca_metabric	MB-2779	6.259770935
brca_metabric	MB-2781	6.387330003
brca_metabric	MB-2786	7.310994886
brca_metabric	MB-2790	6.600058036
brca_metabric	MB-2791	7.123336985
brca_metabric	MB-2792	7.715507148
brca_metabric	MB-2793	6.196373663
brca_metabric	MB-2795	7.298633385
brca_metabric	MB-2796	6.677648777
brca_metabric	MB-2797	7.18943397
brca_metabric	MB-2801	6.64892615
brca_metabric	MB-2803	7.404682548
brca_metabric	MB-2814	7.010560037
brca_metabric	MB-2815	6.686564389
brca_metabric	MB-2819	6.416798769
brca_metabric	MB-2820	6.437662273
brca_metabric	MB-2821	7.132138692
brca_metabric	MB-2823	7.217940953
brca_metabric	MB-2827	6.556298037
brca_metabric	MB-2833	6.696301801
brca_metabric	MB-2834	6.841094472
brca_metabric	MB-2835	6.600055478
brca_metabric	MB-2838	6.623599782
brca_metabric	MB-2840	6.82004866
brca_metabric	MB-2842	7.042487522
brca_metabric	MB-2843	6.951783406
brca_metabric	MB-2844	6.887017799
brca_metabric	MB-2845	7.860189539
brca_metabric	MB-2846	6.906296645
brca_metabric	MB-2847	6.930361116
brca_metabric	MB-2848	6.687182319
brca_metabric	MB-2849	6.557007605
brca_metabric	MB-2850	7.232827212
brca_metabric	MB-2851	7.55079053
brca_metabric	MB-2853	7.060410578
brca_metabric	MB-2854	6.269458127
brca_metabric	MB-2857	7.296582271
brca_metabric	MB-2858	6.609197951
brca_metabric	MB-2863	7.145989558
brca_metabric	MB-2867	6.776410436
brca_metabric	MB-2895	7.087026039
brca_metabric	MB-2896	7.326855662
brca_metabric	MB-2900	6.575028991
brca_metabric	MB-2901	7.018443473
brca_metabric	MB-2904	6.980798239
brca_metabric	MB-2912	6.429667454
brca_metabric	MB-2916	7.961869485
brca_metabric	MB-2917	7.448953878
brca_metabric	MB-2919	7.403532923
brca_metabric	MB-2922	7.459512136
brca_metabric	MB-2923	7.309569054
brca_metabric	MB-2927	6.48548134
brca_metabric	MB-2929	7.330784237
brca_metabric	MB-2931	7.087427753
brca_metabric	MB-2932	6.454597899
brca_metabric	MB-2933	6.576112208
brca_metabric	MB-2939	8.242473591
brca_metabric	MB-2944	7.919455899
brca_metabric	MB-2947	7.498682602
brca_metabric	MB-2951	6.739336905
brca_metabric	MB-2952	6.66018667
brca_metabric	MB-2953	7.158533645
brca_metabric	MB-2954	7.404682548
brca_metabric	MB-2957	7.123336985
brca_metabric	MB-2960	7.086376145
brca_metabric	MB-2963	7.633994998
brca_metabric	MB-2964	7.033896446
brca_metabric	MB-2966	7.230833924
brca_metabric	MB-2969	6.99540507
brca_metabric	MB-2970	6.94227759
brca_metabric	MB-2971	7.394015392
brca_metabric	MB-2977	8.466268228
brca_metabric	MB-2983	6.748618582
brca_metabric	MB-2984	6.500834805
brca_metabric	MB-2990	6.62404913
brca_metabric	MB-2993	7.634185976
brca_metabric	MB-2994	7.143073288
brca_metabric	MB-2996	6.707350705
brca_metabric	MB-2999	7.106293281
brca_metabric	MB-3001	6.841198171
brca_metabric	MB-3002	7.479681432
brca_metabric	MB-3005	6.839533783
brca_metabric	MB-3006	7.590237422
brca_metabric	MB-3007	6.591744937
brca_metabric	MB-3008	6.873483176
brca_metabric	MB-3013	7.821319075
brca_metabric	MB-3014	6.700293532
brca_metabric	MB-3016	7.135596112
brca_metabric	MB-3021	6.883774314
brca_metabric	MB-3025	7.527579012
brca_metabric	MB-3026	7.68606152
brca_metabric	MB-3028	7.385090623
brca_metabric	MB-3031	6.154566626
brca_metabric	MB-3032	7.880021551
brca_metabric	MB-3033	6.987037483
brca_metabric	MB-3035	6.722187887
brca_metabric	MB-3037	6.78214625
brca_metabric	MB-3046	7.538076939
brca_metabric	MB-3049	6.905656393
brca_metabric	MB-3050	6.526954986
brca_metabric	MB-3057	8.02343528
brca_metabric	MB-3058	7.954916526
brca_metabric	MB-3060	7.89472172
brca_metabric	MB-3062	6.817657318
brca_metabric	MB-3063	7.776221978
brca_metabric	MB-3064	6.799715247
brca_metabric	MB-3067	6.27293012
brca_metabric	MB-3079	6.727730148
brca_metabric	MB-3083	5.952191431
brca_metabric	MB-3085	7.103836141
brca_metabric	MB-3088	7.836978452
brca_metabric	MB-3092	6.237217758
brca_metabric	MB-3102	6.307968532
brca_metabric	MB-3103	7.054873785
brca_metabric	MB-3104	6.292952065
brca_metabric	MB-3105	6.746662958
brca_metabric	MB-3110	6.664605304
brca_metabric	MB-3121	7.106254652
brca_metabric	MB-3122	6.662216211
brca_metabric	MB-3123	7.268561683
brca_metabric	MB-3153	7.593329565
brca_metabric	MB-3165	7.800628407
brca_metabric	MB-3167	6.731065863
brca_metabric	MB-3171	7.554272569
brca_metabric	MB-3181	6.720548589
brca_metabric	MB-3211	6.386647541
brca_metabric	MB-3218	7.087427753
brca_metabric	MB-3222	7.224804706
brca_metabric	MB-3228	7.97919134
brca_metabric	MB-3235	6.632245735
brca_metabric	MB-3252	7.833365226
brca_metabric	MB-3253	7.139342027
brca_metabric	MB-3254	7.20220714
brca_metabric	MB-3266	7.637541739
brca_metabric	MB-3271	6.830741455
brca_metabric	MB-3272	6.670227562
brca_metabric	MB-3275	7.872065644
brca_metabric	MB-3277	6.476506077
brca_metabric	MB-3292	6.504022513
brca_metabric	MB-3295	6.913334025
brca_metabric	MB-3297	6.074479113
brca_metabric	MB-3298	7.279244394
brca_metabric	MB-3300	7.337100503
brca_metabric	MB-3301	6.352631315
brca_metabric	MB-3303	6.500441785
brca_metabric	MB-3328	6.747032112
brca_metabric	MB-3329	6.681679521
brca_metabric	MB-3341	7.904124993
brca_metabric	MB-3344	6.349307252
brca_metabric	MB-3350	6.462700079
brca_metabric	MB-3351	6.13764173
brca_metabric	MB-3355	7.258427548
brca_metabric	MB-3357	6.969905051
brca_metabric	MB-3360	7.105082682
brca_metabric	MB-3361	7.780384931
brca_metabric	MB-3363	6.713311253
brca_metabric	MB-3365	6.602937585
brca_metabric	MB-3367	6.528754795
brca_metabric	MB-3371	6.06932388
brca_metabric	MB-3378	6.962980889
brca_metabric	MB-3379	7.142880488
brca_metabric	MB-3381	7.137619975
brca_metabric	MB-3382	7.366224006
brca_metabric	MB-3383	7.183373279
brca_metabric	MB-3386	6.711780616
brca_metabric	MB-3388	6.112579245
brca_metabric	MB-3389	7.64289721
brca_metabric	MB-3395	7.614868533
brca_metabric	MB-3396	7.760449874
brca_metabric	MB-3402	6.352325844
brca_metabric	MB-3403	7.695435747
brca_metabric	MB-3412	7.382139527
brca_metabric	MB-3417	7.745418918
brca_metabric	MB-3429	7.245794164
brca_metabric	MB-3430	6.460735389
brca_metabric	MB-3435	6.505905242
brca_metabric	MB-3436	6.945817876
brca_metabric	MB-3437	6.622880466
brca_metabric	MB-3439	6.589304365
