STUDY_ID	SAMPLE_ID	RASGRF1
brca_metabric	MB-0488	5.480949722
brca_metabric	MB-0489	5.620578029
brca_metabric	MB-0490	5.630111201
brca_metabric	MB-0491	5.322231376
brca_metabric	MB-0492	5.348835105
brca_metabric	MB-0494	5.131951037
brca_metabric	MB-0495	5.176367884
brca_metabric	MB-0496	5.42496812
brca_metabric	MB-0497	5.459581359
brca_metabric	MB-0500	5.505602797
brca_metabric	MB-0501	5.402288816
brca_metabric	MB-0502	5.243619307
brca_metabric	MB-0503	5.392880539
brca_metabric	MB-0504	5.293866708
brca_metabric	MB-0505	5.267933833
brca_metabric	MB-0506	5.886350592
brca_metabric	MB-0507	5.117562319
brca_metabric	MB-0508	5.329547988
brca_metabric	MB-0509	5.250422949
brca_metabric	MB-0510	5.29711966
brca_metabric	MB-0511	5.487704782
brca_metabric	MB-0512	5.34943353
brca_metabric	MB-0513	5.504615834
brca_metabric	MB-0514	5.14959262
brca_metabric	MB-0516	5.541759174
brca_metabric	MB-0517	5.4785752
brca_metabric	MB-0519	5.414930904
brca_metabric	MB-0521	5.490105582
brca_metabric	MB-0522	5.752525641
brca_metabric	MB-0524	5.158505116
brca_metabric	MB-0525	5.372753025
brca_metabric	MB-0526	5.416958871
brca_metabric	MB-0527	5.333596592
brca_metabric	MB-0528	5.39003825
brca_metabric	MB-0529	4.899321989
brca_metabric	MB-0531	5.378031163
brca_metabric	MB-0532	5.30412548
brca_metabric	MB-0534	5.147318879
brca_metabric	MB-0535	5.412113046
brca_metabric	MB-0536	5.577909048
brca_metabric	MB-0537	5.412812504
brca_metabric	MB-0538	5.436626758
brca_metabric	MB-0540	5.588899471
brca_metabric	MB-0541	5.17688772
brca_metabric	MB-0542	5.271523328
brca_metabric	MB-0544	5.451599778
brca_metabric	MB-0545	5.279827498
brca_metabric	MB-0550	5.595593389
brca_metabric	MB-0551	5.683042345
brca_metabric	MB-0552	5.493812237
brca_metabric	MB-0553	5.267295577
brca_metabric	MB-0554	5.452461513
brca_metabric	MB-0558	5.267295577
brca_metabric	MB-0559	5.51485336
brca_metabric	MB-0568	5.241660551
brca_metabric	MB-0569	5.404179132
brca_metabric	MB-0570	5.624776953
brca_metabric	MB-0571	5.396348499
brca_metabric	MB-0573	5.454203005
brca_metabric	MB-0574	5.523012021
brca_metabric	MB-0575	5.291837755
brca_metabric	MB-0576	5.391521523
brca_metabric	MB-0577	5.273983616
brca_metabric	MB-0578	5.332334326
brca_metabric	MB-0579	5.261949174
brca_metabric	MB-0580	5.22276353
brca_metabric	MB-0581	5.480796072
brca_metabric	MB-0582	5.181440638
brca_metabric	MB-0583	5.587533856
brca_metabric	MB-0584	5.361848987
brca_metabric	MB-0585	5.398173235
brca_metabric	MB-0586	5.159617483
brca_metabric	MB-0587	5.254863667
brca_metabric	MB-0588	5.370906234
brca_metabric	MB-0589	5.418056839
brca_metabric	MB-0590	5.748253695
brca_metabric	MB-0591	5.419100464
brca_metabric	MB-0593	5.372893554
brca_metabric	MB-0594	5.352745947
brca_metabric	MB-0596	5.451411693
brca_metabric	MB-0597	5.332132614
brca_metabric	MB-0598	5.164535881
brca_metabric	MB-0599	5.242278984
brca_metabric	MB-0600	5.277921443
brca_metabric	MB-0601	5.274796251
brca_metabric	MB-0603	5.388809548
brca_metabric	MB-0605	5.222524248
brca_metabric	MB-0606	5.115701958
brca_metabric	MB-0607	5.544891381
brca_metabric	MB-0608	5.326465434
brca_metabric	MB-0609	5.434664494
brca_metabric	MB-0610	5.343533427
brca_metabric	MB-0611	5.192227417
brca_metabric	MB-0613	5.561695693
brca_metabric	MB-0614	5.436603954
brca_metabric	MB-0615	5.414692452
brca_metabric	MB-0616	5.052271058
brca_metabric	MB-0617	5.2601563
brca_metabric	MB-0618	5.655712543
brca_metabric	MB-0619	5.229123238
brca_metabric	MB-0620	5.483333031
brca_metabric	MB-0621	5.418188244
brca_metabric	MB-0623	5.427434106
brca_metabric	MB-0624	5.209160052
brca_metabric	MB-0626	5.415029034
brca_metabric	MB-0627	5.276149961
brca_metabric	MB-0628	5.42352259
brca_metabric	MB-0630	5.455594895
brca_metabric	MB-0631	4.997523104
brca_metabric	MB-0632	5.463041576
brca_metabric	MB-0634	5.50717858
brca_metabric	MB-0636	5.376570847
brca_metabric	MB-0637	5.151858807
brca_metabric	MB-0638	5.211794093
brca_metabric	MB-0639	5.614211463
brca_metabric	MB-0640	5.137483298
brca_metabric	MB-0641	5.477110215
brca_metabric	MB-0642	5.502054924
brca_metabric	MB-0643	5.852656992
brca_metabric	MB-0644	5.462995624
brca_metabric	MB-0646	5.550640226
brca_metabric	MB-0649	5.237900745
brca_metabric	MB-0650	5.564981072
brca_metabric	MB-0652	5.4166909
brca_metabric	MB-0653	5.556965183
brca_metabric	MB-0654	5.385637217
brca_metabric	MB-0655	5.36957583
brca_metabric	MB-0656	5.461382197
brca_metabric	MB-0657	5.290954737
brca_metabric	MB-0658	5.196180623
brca_metabric	MB-0659	5.322065861
brca_metabric	MB-0660	5.568418769
brca_metabric	MB-0661	5.143014851
brca_metabric	MB-0662	5.366864262
brca_metabric	MB-0663	5.736938553
brca_metabric	MB-0664	5.397044529
brca_metabric	MB-0666	5.436979522
brca_metabric	MB-0869	5.66222826
brca_metabric	MB-0872	5.5054574
brca_metabric	MB-0874	5.606826408
brca_metabric	MB-0877	5.184849531
brca_metabric	MB-0880	5.577602484
brca_metabric	MB-0882	5.368809863
brca_metabric	MB-0884	5.329034806
brca_metabric	MB-0891	5.360633745
brca_metabric	MB-0893	5.321592284
brca_metabric	MB-0895	5.259194463
brca_metabric	MB-0897	5.189387539
brca_metabric	MB-0899	5.235867804
brca_metabric	MB-0901	5.539607826
brca_metabric	MB-0904	5.524562214
