STUDY_ID	SAMPLE_ID	RASGRF1
brca_metabric	MB-0535	0.1414
brca_metabric	MB-0536	1.0254
brca_metabric	MB-0537	0.1452
brca_metabric	MB-0538	0.2736
brca_metabric	MB-0540	1.0832
brca_metabric	MB-0541	-1.1527
brca_metabric	MB-0542	-0.6262
brca_metabric	MB-0544	0.354
brca_metabric	MB-0545	-0.5804
brca_metabric	MB-0550	1.1184
brca_metabric	MB-0551	1.5744
brca_metabric	MB-0552	0.5798
brca_metabric	MB-0553	-0.6496
brca_metabric	MB-0554	0.3586
brca_metabric	MB-0558	-0.6496
brca_metabric	MB-0559	0.6919
brca_metabric	MB-0568	-0.7915
brca_metabric	MB-0569	0.0986
brca_metabric	MB-0570	1.2712
brca_metabric	MB-0571	0.0562
brca_metabric	MB-0573	0.368
brca_metabric	MB-0574	0.7352
brca_metabric	MB-0575	-0.5142
brca_metabric	MB-0576	0.0301
brca_metabric	MB-0577	-0.6126
brca_metabric	MB-0578	-0.2921
brca_metabric	MB-0579	-0.6791
brca_metabric	MB-0580	-0.8965
brca_metabric	MB-0581	0.5104
brca_metabric	MB-0582	-1.1272
brca_metabric	MB-0583	1.076
brca_metabric	MB-0584	-0.1311
brca_metabric	MB-0585	0.0661
brca_metabric	MB-0586	-1.2497
brca_metabric	MB-0587	-0.7183
brca_metabric	MB-0588	-0.0818
brca_metabric	MB-0589	0.1735
brca_metabric	MB-0590	1.9107
brca_metabric	MB-0591	0.1792
brca_metabric	MB-0593	-0.071
brca_metabric	MB-0594	-0.1806
brca_metabric	MB-0596	0.353
brca_metabric	MB-0597	-0.2932
brca_metabric	MB-0598	-1.222
brca_metabric	MB-0599	-0.7881
brca_metabric	MB-0600	-0.5909
brca_metabric	MB-0601	-0.6082
brca_metabric	MB-0603	0.0154
brca_metabric	MB-0605	-0.8978
brca_metabric	MB-0606	-1.4974
brca_metabric	MB-0607	0.8511
brca_metabric	MB-0608	-0.3242
brca_metabric	MB-0609	0.263
brca_metabric	MB-0610	-0.2309
brca_metabric	MB-0611	-1.0668
brca_metabric	MB-0613	0.9399
brca_metabric	MB-0614	0.2734
brca_metabric	MB-0615	0.1554
brca_metabric	MB-0616	-1.8584
brca_metabric	MB-0617	-0.689
brca_metabric	MB-0618	1.4325
brca_metabric	MB-0619	-0.8611
brca_metabric	MB-0620	0.5239
brca_metabric	MB-0621	0.1742
brca_metabric	MB-0623	0.2241
brca_metabric	MB-0624	-0.9723
brca_metabric	MB-0626	0.1572
brca_metabric	MB-0627	-0.6007
brca_metabric	MB-0628	0.203
brca_metabric	MB-0630	0.3755
brca_metabric	MB-0631	-2.1731
brca_metabric	MB-0632	0.4154
brca_metabric	MB-0634	0.651
brca_metabric	MB-0636	-0.051
brca_metabric	MB-0637	-1.2933
brca_metabric	MB-0638	-0.9576
brca_metabric	MB-0639	1.216
brca_metabric	MB-0640	-1.3743
brca_metabric	MB-0641	0.4907
brca_metabric	MB-0642	0.6238
brca_metabric	MB-0643	2.4423
brca_metabric	MB-0644	0.4151
brca_metabric	MB-0646	0.8815
brca_metabric	MB-0649	-0.8124
brca_metabric	MB-0650	0.9573
brca_metabric	MB-0652	0.1661
brca_metabric	MB-0653	0.915
brca_metabric	MB-0654	-0.0018
brca_metabric	MB-0655	-0.089
brca_metabric	MB-0656	0.4065
brca_metabric	MB-0657	-0.5191
brca_metabric	MB-0658	-1.0447
brca_metabric	MB-0659	-0.3483
brca_metabric	MB-0660	0.9754
brca_metabric	MB-0661	-1.3431
brca_metabric	MB-0662	-0.1038
brca_metabric	MB-0663	1.8526
brca_metabric	MB-0664	0.06
brca_metabric	MB-0666	0.2755
brca_metabric	MB-0869	1.4664
brca_metabric	MB-0872	0.6419
brca_metabric	MB-0874	1.1773
brca_metabric	MB-0877	-1.1081
brca_metabric	MB-0880	1.0238
brca_metabric	MB-0882	-0.0932
brca_metabric	MB-0884	-0.3101
brca_metabric	MB-0891	-0.1377
brca_metabric	MB-0893	-0.3509
brca_metabric	MB-0895	-0.6944
brca_metabric	MB-0897	-1.0827
brca_metabric	MB-0899	-0.8236
brca_metabric	MB-0901	0.8232
brca_metabric	MB-0904	0.7434
brca_metabric	MB-0906	2.8237
brca_metabric	MB-2513	-0.4459
brca_metabric	MB-2517	1.0741
brca_metabric	MB-2536	0.0548
brca_metabric	MB-2556	-0.2514
brca_metabric	MB-2564	-0.0551
brca_metabric	MB-2610	-0.5888
brca_metabric	MB-2613	-0.2641
brca_metabric	MB-2614	-1.2042
brca_metabric	MB-2616	-0.2382
brca_metabric	MB-2617	-0.3956
brca_metabric	MB-2618	-0.5865
brca_metabric	MB-2624	-1.5292
brca_metabric	MB-2626	0.415
brca_metabric	MB-2629	-0.6425
brca_metabric	MB-2632	-0.7735
brca_metabric	MB-2634	-0.4783
brca_metabric	MB-2642	0.0669
brca_metabric	MB-2643	0.0196
brca_metabric	MB-2645	-0.1983
brca_metabric	MB-2669	-1.2152
brca_metabric	MB-2686	-0.0351
brca_metabric	MB-2705	-0.2137
brca_metabric	MB-2708	-0.4967
brca_metabric	MB-2711	-0.2326
brca_metabric	MB-2712	-0.4099
brca_metabric	MB-2718	2.7408
brca_metabric	MB-2721	-1.5288
brca_metabric	MB-2724	-1.5378
brca_metabric	MB-2725	-0.676
brca_metabric	MB-2728	0.1401
brca_metabric	MB-2730	0.7993
brca_metabric	MB-2735	-0.3882
brca_metabric	MB-2742	-0.1959
brca_metabric	MB-2744	0.2816
brca_metabric	MB-2745	0.9032
brca_metabric	MB-2747	-2.6049
brca_metabric	MB-2749	0.2396
brca_metabric	MB-2750	1.2023
brca_metabric	MB-2752	0.0267
brca_metabric	MB-2753	0.2936
brca_metabric	MB-2754	1.9043
brca_metabric	MB-2758	-0.0786
brca_metabric	MB-2760	0.3899
brca_metabric	MB-2763	-0.0583
brca_metabric	MB-2764	1.6468
brca_metabric	MB-2765	-0.3278
brca_metabric	MB-2767	0.4254
brca_metabric	MB-2769	0.6236
brca_metabric	MB-2770	-0.9277
brca_metabric	MB-2771	-1.1157
brca_metabric	MB-2772	-0.0961
brca_metabric	MB-2774	-1.0509
brca_metabric	MB-2778	0.1052
brca_metabric	MB-2779	-0.2135
brca_metabric	MB-2781	-0.8831
brca_metabric	MB-2786	-1.7916
brca_metabric	MB-2790	-0.9293
brca_metabric	MB-2791	0.8087
brca_metabric	MB-2792	0.8798
brca_metabric	MB-2793	-0.3458
brca_metabric	MB-2795	-1.1703
brca_metabric	MB-2796	-0.7675
brca_metabric	MB-2797	0.0503
brca_metabric	MB-2801	-2.1468
brca_metabric	MB-2803	-0.263
brca_metabric	MB-2814	-0.6097
brca_metabric	MB-2815	-0.0497
brca_metabric	MB-2819	0.2944
brca_metabric	MB-2820	-0.0053
brca_metabric	MB-2821	-0.5991
brca_metabric	MB-2823	-0.8839
brca_metabric	MB-2827	1.283
brca_metabric	MB-2833	-0.2718
brca_metabric	MB-2834	1.5329
brca_metabric	MB-2835	0.2825
brca_metabric	MB-2838	-1.0809
brca_metabric	MB-2840	-1.6122
brca_metabric	MB-2842	0.4884
brca_metabric	MB-2843	-1.2623
brca_metabric	MB-2844	-1.0445
brca_metabric	MB-2845	-1.6078
brca_metabric	MB-2846	-0.5947
brca_metabric	MB-2847	-0.7796
brca_metabric	MB-2848	-0.9425
brca_metabric	MB-2849	-0.5019
brca_metabric	MB-2850	-0.5623
brca_metabric	MB-2851	-0.9066
brca_metabric	MB-2853	-0.7232
brca_metabric	MB-2854	-1.1589
brca_metabric	MB-2857	0.2001
brca_metabric	MB-2858	0.7609
brca_metabric	MB-2863	-1.0884
brca_metabric	MB-2867	1.1306
brca_metabric	MB-2895	0.5342
brca_metabric	MB-2896	-0.5207
brca_metabric	MB-2900	0.9698
brca_metabric	MB-2901	-2.1392
brca_metabric	MB-2904	1.2034
brca_metabric	MB-2912	0.2794
brca_metabric	MB-2916	2.1438
brca_metabric	MB-2917	0.1329
brca_metabric	MB-2919	-0.5678
brca_metabric	MB-2922	-0.0176
brca_metabric	MB-2923	1.8024
brca_metabric	MB-2927	-0.6339
brca_metabric	MB-2929	0.6339
brca_metabric	MB-2931	-0.6049
brca_metabric	MB-2932	-1.3431
brca_metabric	MB-2933	-0.5014
brca_metabric	MB-2939	-0.3035
brca_metabric	MB-2944	-0.4875
brca_metabric	MB-2947	-0.1281
brca_metabric	MB-2951	0.3711
brca_metabric	MB-2952	-0.666
brca_metabric	MB-2953	-0.3385
